timestamp,packet_size,src_mac,dst_mac,ethertype
1112701135.816434,60,08:00:06:6b:f6:23,08:00:06:6b:8b:fb,0x8892
1112701135.818220,60,08:00:06:6b:8b:fb,08:00:06:6b:f6:23,0x8892
1112701135.818433,60,08:00:06:6b:f6:23,08:00:06:6b:8b:fb,0x8892
1112701135.820251,60,08:00:06:6b:8b:fb,08:00:06:6b:f6:23,0x8892
1112701135.820439,60,08:00:06:6b:f6:23,08:00:06:6b:8b:fb,0x8892
1112701135.822207,60,08:00:06:6b:8b:fb,08:00:06:6b:f6:23,0x8892
1112701135.822435,60,08:00:06:6b:f6:23,08:00:06:6b:8b:fb,0x8892
1112701135.824208,60,08:00:06:6b:8b:fb,08:00:06:6b:f6:23,0x8892
1112701135.824436,60,08:00:06:6b:f6:23,08:00:06:6b:8b:fb,0x8892
1112701135.826227,60,08:00:06:6b:8b:fb,08:00:06:6b:f6:23,0x8892
1112701135.826441,60,08:00:06:6b:f6:23,08:00:06:6b:8b:fb,0x8892
1112701135.828213,60,08:00:06:6b:8b:fb,08:00:06:6b:f6:23,0x8892
1112701135.828447,60,08:00:06:6b:f6:23,08:00:06:6b:8b:fb,0x8892
1112701135.830242,60,08:00:06:6b:8b:fb,08:00:06:6b:f6:23,0x8892
1112701135.830439,60,08:00:06:6b:f6:23,08:00:06:6b:8b:fb,0x8892
1112701135.832210,60,08:00:06:6b:8b:fb,08:00:06:6b:f6:23,0x8892
1112701135.832440,60,08:00:06:6b:f6:23,08:00:06:6b:8b:fb,0x8892
1112701135.834210,60,08:00:06:6b:8b:fb,08:00:06:6b:f6:23,0x8892
1112701135.834435,60,08:00:06:6b:f6:23,08:00:06:6b:8b:fb,0x8892
1112701135.836219,60,08:00:06:6b:8b:fb,08:00:06:6b:f6:23,0x8892
1112701135.836442,60,08:00:06:6b:f6:23,08:00:06:6b:8b:fb,0x8892
1112701135.838222,60,08:00:06:6b:8b:fb,08:00:06:6b:f6:23,0x8892
1112701135.838449,60,08:00:06:6b:f6:23,08:00:06:6b:8b:fb,0x8892
1112701135.840255,60,08:00:06:6b:8b:fb,08:00:06:6b:f6:23,0x8892
1112701135.840443,60,08:00:06:6b:f6:23,08:00:06:6b:8b:fb,0x8892
1112701135.842220,60,08:00:06:6b:8b:fb,08:00:06:6b:f6:23,0x8892
1112701135.842444,60,08:00:06:6b:f6:23,08:00:06:6b:8b:fb,0x8892
1112701135.844227,60,08:00:06:6b:8b:fb,08:00:06:6b:f6:23,0x8892
1112701135.844441,60,08:00:06:6b:f6:23,08:00:06:6b:8b:fb,0x8892
1112701135.846210,60,08:00:06:6b:8b:fb,08:00:06:6b:f6:23,0x8892
1112701135.846446,60,08:00:06:6b:f6:23,08:00:06:6b:8b:fb,0x8892
1112701135.848217,60,08:00:06:6b:8b:fb,08:00:06:6b:f6:23,0x8892
1112701135.848449,60,08:00:06:6b:f6:23,08:00:06:6b:8b:fb,0x8892
1112701135.850246,60,08:00:06:6b:8b:fb,08:00:06:6b:f6:23,0x8892
1112701135.850444,60,08:00:06:6b:f6:23,08:00:06:6b:8b:fb,0x8892
1112701135.852219,60,08:00:06:6b:8b:fb,08:00:06:6b:f6:23,0x8892
1112701135.852449,60,08:00:06:6b:f6:23,08:00:06:6b:8b:fb,0x8892
1112701135.854217,60,08:00:06:6b:8b:fb,08:00:06:6b:f6:23,0x8892
1112701135.854450,60,08:00:06:6b:f6:23,08:00:06:6b:8b:fb,0x8892
1112701135.856221,60,08:00:06:6b:8b:fb,08:00:06:6b:f6:23,0x8892
1112701135.856447,60,08:00:06:6b:f6:23,08:00:06:6b:8b:fb,0x8892
1112701135.858212,60,08:00:06:6b:8b:fb,08:00:06:6b:f6:23,0x8892
1112701135.858453,60,08:00:06:6b:f6:23,08:00:06:6b:8b:fb,0x8892
1112701135.860252,60,08:00:06:6b:8b:fb,08:00:06:6b:f6:23,0x8892
1112701135.860456,60,08:00:06:6b:f6:23,08:00:06:6b:8b:fb,0x8892
1112701135.862202,60,08:00:06:6b:8b:fb,08:00:06:6b:f6:23,0x8892
1112701135.862454,60,08:00:06:6b:f6:23,08:00:06:6b:8b:fb,0x8892
1112701135.864222,60,08:00:06:6b:8b:fb,08:00:06:6b:f6:23,0x8892
1112701135.864456,60,08:00:06:6b:f6:23,08:00:06:6b:8b:fb,0x8892
1112701135.866217,60,08:00:06:6b:8b:fb,08:00:06:6b:f6:23,0x8892
1112701135.866456,60,08:00:06:6b:f6:23,08:00:06:6b:8b:fb,0x8892
1112701135.868220,60,08:00:06:6b:8b:fb,08:00:06:6b:f6:23,0x8892
1112701135.868452,60,08:00:06:6b:f6:23,08:00:06:6b:8b:fb,0x8892
1112701135.870243,60,08:00:06:6b:8b:fb,08:00:06:6b:f6:23,0x8892
1112701135.870459,60,08:00:06:6b:f6:23,08:00:06:6b:8b:fb,0x8892
1112701135.872207,60,08:00:06:6b:8b:fb,08:00:06:6b:f6:23,0x8892
1112701135.872459,60,08:00:06:6b:f6:23,08:00:06:6b:8b:fb,0x8892
1112701135.874201,60,08:00:06:6b:8b:fb,08:00:06:6b:f6:23,0x8892
1112701135.874462,60,08:00:06:6b:f6:23,08:00:06:6b:8b:fb,0x8892
1112701135.876223,60,08:00:06:6b:8b:fb,08:00:06:6b:f6:23,0x8892
1112701135.876461,60,08:00:06:6b:f6:23,08:00:06:6b:8b:fb,0x8892
1112701135.878215,60,08:00:06:6b:8b:fb,08:00:06:6b:f6:23,0x8892
1112701135.878462,60,08:00:06:6b:f6:23,08:00:06:6b:8b:fb,0x8892
1112701135.880240,60,08:00:06:6b:8b:fb,08:00:06:6b:f6:23,0x8892
1112701135.880459,60,08:00:06:6b:f6:23,08:00:06:6b:8b:fb,0x8892
1112701135.882212,60,08:00:06:6b:8b:fb,08:00:06:6b:f6:23,0x8892
1112701135.882464,60,08:00:06:6b:f6:23,08:00:06:6b:8b:fb,0x8892
1112701135.884216,60,08:00:06:6b:8b:fb,08:00:06:6b:f6:23,0x8892
1112701135.884465,60,08:00:06:6b:f6:23,08:00:06:6b:8b:fb,0x8892
1112701135.886214,60,08:00:06:6b:8b:fb,08:00:06:6b:f6:23,0x8892
1112701135.886466,60,08:00:06:6b:f6:23,08:00:06:6b:8b:fb,0x8892
1112701135.888212,60,08:00:06:6b:8b:fb,08:00:06:6b:f6:23,0x8892
1112701135.888465,60,08:00:06:6b:f6:23,08:00:06:6b:8b:fb,0x8892
1112701135.890225,60,08:00:06:6b:8b:fb,08:00:06:6b:f6:23,0x8892
